review_id,star_rating,review_body
R2DAFRTD2U7E80,5,"I love it , it's perfect!!"
R2QITH6TW0T1PE,5,Could do with out THEM. We have 3 pair. ALL ARE GREAT..!!!!!
R3FHJ8EWKTR4XP,5,"Excellent, traffic sound,"
R1ASLY0LV08915,5,"Great item. Husband is hard of hearing and he can turn the volume up as loud as he wants, and I can have the TV on at a lower volume & it keeps us both happy. Love it."
R9CIU8HPNKZNZ,3,"I have had these now for about a month or so. At first when I read the reviews about these head sets falling off your head, I almost did not buy them.<br />I went ahead anyway. Well, at first they where hurting my ears after a little while big time, and I confirmed, that they do slide off my head if I bend over a little.<br />I was going to turn around and send them back. But, I adjusted the the tightness over my head by extending them to the max and my ear pain pressure when away. They still slide off my head.<br />Why then am I keeping them? I like the distance that it still picks up as I walk outside my house. My mail box is about 120 feet or more away, and it still picks up the signal. That is what I like most about this unit. I did not want to take a chance on another brand with less rated distance.<br />Another thing, my wife is totally jazzed because I have a hearing loss, and I no longer have to crank up the volume for my tv so I can hear.  So. I am putting up with the sliding off my head and living with it, I am very active and do a lot of stuff and like listening to the news while I do other stuff around my yard and other areas around my house.<br />The 4 stars is due to the sliding off my head. Otherwise I am very happy with this unit."
R1QBVAH24TH11N,5,"Much better than others.,  like the long range capacity with no static"
R1N1KZMV9HCQPZ,4,"The headphones usually work great - except for the one time when they completely lost sound for nearly a minute, with no determinable reason.  I am also very disappointed that I have to turn the TV around and plug them in every time I want to use them, as they cut all sound from the TV, and according to the TV manufacturer (Element), there is no way around this issue."
R2Z0RORIQKBP7Q,4,"Practical, nice looking and efficient.<br />By the way, I ordered two sets by mistake. In order to keep both,, by not returning one set,Amazon offered me a $10.00 credit for my next purchase. I need a confirmation of this offer.<br />Thanks<br /> Eduardo R. Acle, M.D.<br />aclesrmd@att.net"
R20F1DA058OY7K,4,Excellent Quality Sound. Controls on headset could be larger for easier operation.
R27VGF80ZK4G1Y,5,"I have had no problems at all with the headphones.  I read other reviews that said they got nothing but static and when I first set the headphones up, I thought oh-oh, static......  Then I adjusted the tuning dial and voila, perfect reception.  They are comfortable on my ears, although a bit of discomfort when they set right on where my glasses go over my ear.  When I adjust them slightly, that goes away.  As for clarity, I am not an audiophile and these aren't Bose, my hearing is bad, ergo the headphones, but I am certainly satisfied with the sound quality.  I 've had them for about a month and am completely pleased with my purchase.  I can now distinguish conversation in movies where I used to just hear garbled noise."
R1RF8XJUQ9DT25,5,This product was purchased to allow my wife to watch TV in the bedroom. Sound quality of the phones is really good for the price point. Functionality is great with the rechargeable batteries working well and providing ample power for multiple years even given daily use.
R1KQVX7V56AHO7,5,Great sound!
R3UH6JAA5NRDWK,5,"These are great, no more batteries and we can both use our earphone off one unit."
R27DPB5OAHA40S,5,One of the best headphones.
RV82Y1874H4MK,5,Excellent audio for your TV or Stereo and the Headphones are comfortable to wear for hours at a time...
R3C069XVAMM7T4,5,"One of the best investments I've made in a long time.  They work perfect for a hard of hearing person-hearing aids aren't much help with hearing TV, but with these, you don't miss a word.  Wonderful product.  Worth every penny."
R169009GUTBPI7,5,"Excellent quality headphones, would highly recommend them!"
R5QUU3NPZC3EF,3,Hurts my ears and head.  Batteries don't recharge as I was told.  Have to change the rechargeable batteries often.  Expensive but not worth the price.
ROXEW471JCWAF,5,Just what I expected. Very happy with my purchase.
R2X6DHZ76EB80N,4,Works very well so far.
R10202XP3E4H0X,5,These are wonderful!  I had been having trouble understanding what was said on my TV without having the volume too loud.  The headphones have solved that problem.  They are comfortable and have quite a long range.
R1K55L17ZM0JIQ,5,It is great and I can listen to the television without disturbing my husband's Nap!
RQRIUI9KHLD7Q,1,Ordered this for my dad the jack was shaped wrong had to go get a new one then it quit working after like 10 min of use this was expensive to not work
R1SW3EXLMX9U60,5,I purchased these last Christmas for my stepdad.  I knew nothing about them and purchased strictly off of customer reviews.  So glad I did.  They keep a charge and don't loose the convection.  He loves them!!!
R2NG1KM6DN15P0,5,Good tone. Clear
R3MSBSKYT8VR1Y,5,Wifey here. These headphones are the bomb-diggity! The sound quality is terrific - very clear. The headphones are super comfy and fit very well. The wireless capacity is strong. I can be in another room at the other end of the house and there is no distortion. For the price I'm really impressed. Another benefit is the sound doesn't blast through the headphones so you won't disturb your mate. Really a great buy.
R1D62B48SOXGO5,5,Wife uses them to watch late TV while I sleep.  Sound it excellent and holds a charge great.  Hang them up in the morning. Ready for another evening.
R16AD49MV6UUK3,5,Came in a timely manner.  Work great and would recommend
R2HNTIC9TN30NK,4,"The sound quality of these headphones is crystal clear with little to no interference, even two rooms over. They produce crisp highs and head rumbling lows. The only problem I have with them is the head band doesn't fit as uniformly as I had hoped it would. Before these I was using a pair of Sony wireless headphones that spoiled me with hours of comfortable listening. All in all I am happy with my purchase and I think you will be too."
R3RB7BEF1WBS23,2,"I work in an office with a lot of electronics - so this review may be slightly unfair.<br /><br />If you're in the same boat as me and you're an engineer or something related working around a lot of equipment then this is not the headset for you. It's impossible to have static free listening. There's always a slight crackle, pop etc. while listening and it drives me crazy. I find I spend more time being annoyed than actually enjoying the music I'm listening to while working. Other than that the headset is comfortable and has a great charger. It's really unfortunate they're so awful in my office."
R8MCCIDZ663WX,2,Cheaply made and poor sound quality I couldn't get it to work had to return it
R2FD38GEV0DI7O,5,These are almost 10 years old now and they work as good as the day I bought them. LOVE THESE AND THE SOUND GREAT!
RXNMBCL8EMO6T,5,These headphones are wonderful. My husband has some hearing loss and he can hear the TV perfectly with these headphones. They block out the background noise. They are definitely worth the monty.
R3TEOCIXQB6UFW,5,"Took a bit to figure these out but worth it.<br />Has different channels and tuning in.<br />But I'm glad I am patient and not my husband.<br />It wasn't like it took a long time to figure out what I was doing wrong but quality of sound is great.<br />I wanted them for the kitchen, my husband has his TV loud and I didn't want to have mine up loud also but it would make cutting in and out sounds. Swishing sound. But love these in the bedroom"
R1I0JUIE12NYUT,5,I have been very happy with this product. Easy to use. I can watch tv with mom who usually turns th volume up To the point I want to leave the room. Now we can both watch tv at comfortable volumes. Her complaint used to be she couldn't understand what people were saying. With the headphones she can hear and understand them them. I bought another pair for my friends' mom who just loves them.
R9VN09Z48B2L9,4,"Good product, good prce"
RN46M9299TCNN,5,My husband loves these.  He is an early riser and I am a night person. He walks all around the house and outside listening to TV and doesn't disturb the rest of us in the morning.
R2K7ZYSZHQUJZG,5,Great headset for price
R71PTUZSKQK1Q,5,"Great headphones, clear sound and work great with TV.  Great quality for the price also."
R14X5RX9UA2YTW,4,Have not been able to make this work. Would not buy them again
R1LRHG7GNJPPAV,5,"Bought this with the &#34;Sennheiser HDR120 Supplemental HiFi Wireless Headphone for RS-120 System&#34; for my dad for father's day.  With a lot of grandkids always at his house and playing, he likes to complain that he can't hear the dialogue on his TV shows.  After trying this out he loves it.  He even said that he can hear ten times more with them, things he never heard before, and that the dialogue is crystal clear."
R56TCFISAFJNN,5,Works great and the best thing about it is that my old headset works with it also.
R1ZYD0178F4XQV,2,"I bought there to listen to my TV at night. Sound signal gets cut very easily. And they are kinda bulky. Better if used for the office. Not the best option in a bedroom.<br /><br />- - - UPDATE 2016-01/11 - - -<br />After over a year of use, I moved these to my office. I originally purchased them for my bedroom buy they fall from your head very easily if you're in other position than seated or standing.<br />At the office I tried to hide the base/transmitter behind a 24 inch display, but it interferes too much and I can head a bad &#34;hiss&#34; that makes the sound terrible, even 3 feet away from the base. Seems like you need a direct visual lime between the transmitter and the headset with no obstacles in between at all.<br />Finally and the worst about this headset, is that it has a Radio receiver built in. For some reason, if you're listening to something and you pause the audio, the headset will assume that you're not using your regular audio anymore and after 180 seconds it will automatically switch to radio mode, probably giving you a horrible and loud hiss of static.<br />This makes the headset really annoying."
R13MARFV9KR629,5,"Setup easily, sounds great!"
R3L861VUGN1L4T,4,great
RMIRHCB68VAF3,5,"These Headphones really do what they claim they will!!  Even in shows where people whisper to one another, the sound is crystal clear, so no more missing 1/2 of whatever TV show, DVD or what have you.  Not enough words to describe the huge and wonderful difference.  It come with and on/off switch on the left ear and volume and tuning wheel on the right side, to bring it in to perfection.  There is also a channel switch on the base to assist in perfect sound.  The only draw back we have found is that you can not talk to one another during commercials unless the TV is paused or the one wearing the headphones, takes them off.  Not a biggie for us."
R1LFBH887P9W5Z,5,This was a great purchase! Hubby loved to have the TV super loud. I couldn't even hear myself think sometimes. I orders him this and now we can have the TV at a normal level and he can have it as loud as he wants through his headphones. The sound quality is good for the price.
R25RTVXWB19OO9,5,"Great , can listen in peace!"
R2JV5AWJBZ0SY3,1,"Very uncomfortable. Poor sound, and I found it difficult to setup. Huge waste of money!"
R2Q7V8HY45QPO,3,This works okay. The audio quality is not as good as I thought it would be. When I can get clear reception the volume level is low. I find a lot of noise when searching for clear reception. I don't use it very much so it is acceptable but I was expecting better especially for the price. I like to use it when I'm riding my exercise bike. The noise from the bike can be significant when trying to listen to music so I expected better isolation and volume. It's satisfactory but not a full recommendation at this time.
R3TFQ8JYX140PD,5,Love it.  Easy to set up.  Everything I needed was included.
R33V4BNAVO10OP,5,Very good Important to watch youtube video to install....
R3F79SIMY4CY8R,5,Excellent hearing device.  I now know what is being said on the programs.  Had been missing a lot.
R3K41FE49FANLY,5,It's great!!
R1LTK7QMV2PE5P,5,I bought these for my elderly Dad after his other ones broke. He LOVES them. He can walk around the yard or house and still hear his programs.<br />they are easy to install and use.
R3II06WPY150D7,4,"I bought 2 earlier this year. They work great until they fail. One of them lost sound in one ear. The sad part about that is this one I used less than<br />the other one. In fact, I may have used that one only about 7 or 8 times through a 7 month time before it went bad. But overall I think they work<br />great, especially since I do not have any wireless TV's, so I was forced to use an RF unit. So that is why I decided to replace the broken one. I am<br />pleased with their performance."
R1S3JFLSZC2L5Z,5,"Yes, my husband loves them. This is his second pair. He has two of the Sennheiser RS120 on Ear Wireless RF headphones. Highly recommend them."
RRZ2NM7OIAS8S,3,"Simply wouldn't connect and work for me. I think there is interference in my condo, so my opinion shouldn't be regarded."
R22WXDRI1OWI5L,3,"Is a good product, the only concern is that the tuning sometimes is not very strong, creating a lot of interference while using the device."
R26DR5D8W1TYJP,5,"Great unit. Opened box, plugged in base unit to my TV, everything worked perfectly. Amazing sound, great bass response. Headphones were comfortable. No complaints.Would recommend to anyone with limited hearing or that needs to listen to music on the TV. The charger/stand works great. Just hang the headphones on the stand and it starts charging right away."
R3I3QCV7GOE8SK,5,I can now hear my TV programs nice and clear. Its fabulous!!!
R3B1JNT6935NWM,4,"Great sound. Easy to connect to TV (since I have dedicated audio outputs) and because of that, I love having control on the TV volume as well as the headphone volume (I can mute the TV while the headphones are in use).<br />One thing I don't like is the Tune control is right next to the volume, so my hearing-impaired son (whom I bought these for) has a tendency to adjust the wrong control. Being 5 years old, I end up having to correct the tuning for him. Sennheiser would have done well to put the Tune on one ear cup and the Volume on the other, but overall, these are great headphones.<br />I may buy another set for my hearing-impaired father-in-law. He's not 5 years old, so he can fix his own tuning issues. :)"
RFPNILZHOSCIP,3,They were great once I found the correct frequency... Then they stopped working. Not sure if it's the placement of the base or what???
R3HA1QUTWX5EJI,5,"So, so clear. Perfect. 5/5"
RH60E4812M2CJ,5,"Wow, I can't say enough how much I like these (and my husband). We previously had a Sony that our children killed with a laptop (it was mess).<br /><br />In comparison, our Sony was rechargeable, but docked on the bottom of the speakers, so it had to be carefully placed into the charger. This design is so smart, you basically just plop them on the charging dock and they balance easily and readily. The sound quality is pretty fantastic, and they are extremely comfortable compared to other brands that we have tried. I also like that should the headphones bite the dust, we can replace just the headset as this pairs with multiple sets! The price was just slightly higher than what I considered purchasing initially, and it was really worth the extra few bucks."
R2H1T2I8K4WR5T,4,these are great and now inexpensive
R1ND9TOKC9JQY9,5,"I purchased these for my mom and mother-in law who have a hard time hearing the TV and get tired of reading closed caption. They receive the seal of approval with both of them and they tend to be picky ladies. They have both commented to me how they even forget that they have them on. Also, no more changing batteries or worrying about them tripping over cords!"
R124YYZLA600Q3,5,"These are fantastic!  Before getting Sennheiser, I went thru at least a half a dozen headphones that did work very well.  All returned.  I've had these headphone for 4 months now, and they always work beautifully.  I especially like the tuning control since I have DirectTV and the sound comes thru the air - sometimes crackly.  I can fine tune to get good reception.  Although a little pricey, for me, they are well worth the extra cost.  As is said, &#34;You get what you pay for.&#34;"
R1IXN4XD72LHMM,3,The headphones were more difficult to connect than my previous wireless.  Also did not find the quality of the sound great.
R39P8TBLCUUGC0,5,Work great.
R2IVLFY9BC474C,1,Stopped working after a few days.. we ordered Sony Headphones instead
R3EDK4R6ZKTG5F,5,"My dad use to blast us out of the room when watching T.V. . When we would talk... he would turn it up! Then commercials would come on and WOW! So loud! But not anymore thank goodness. My mom and I purchased these for my dad for his birthday. I plugged them in Immediately! So easy to do. I plugged it directly into the back of the cable/ satellite box. They came charged. I gave them to him, and he loved them. I've even used them myself from time to time to watch a movie. Sound is crisp, good bass sound. Great range..no static ever! Definitely would recommend for the T.V. Blaster in your home!!!!"
R1NUFS0SD0NRQA,1,"never got them to work, hired an expert.  But, of course by the time that got done. Past the time to return.  Now I am stuck with them."
R6N8UGEMLLJ6O,4,"Great sound, pretty comfortable, lite weight can't tell how far the range?."
R2RDNVZZSZ6DAX,5,"I originally would have given these headphones a 5+ star rating because when I first used them they worked GREAT and had EXELLENT bass. I dropped the rating to 2 stars because of what happened 24hours later. Prior to this 24 hour mark, The music and vocals worked perfectly out of both right and left sides. 24 Hours later however the music comes out of both sides, but the vocals only come out of the right side. I have no clue what happened. Now here is whats weird about this. It only happens when I have it plugged into my Stereo system Via the 1/4 adapter. When I plug them into my phone or computer using the 1/8 jack the vocals and music come out of both right and left speakers. I thought I had a defective 1/4 adapter so I went out and bought another one. The problem still exists. The receiver I use is a Onkyo TX-NR535 that I bought exactly 1 year ago. Prior to me using the headphone jack with these headphones, I have never used headphones before with my receiver.<br /><br />So if I would recommend these to another person: well Yes and no. I had a bad experience with them, but you might have a different one.<br /><br />Update: 2-12-16. I found the problem. I did something to my Receiver that made it do that weird sound problem. I did a factory reset and solved the problem. EXCELLENT HEADPHONES!!!!!!"
R3AADBG7IHOSO1,4,Performs as advertised
R2U9GHULSGFACL,5,"I think it is safe to say that wearing these headphones is akin to having two golden retriever puppy butts strapped to the side of your head.<br /><br />They are soft and warm, a little squishy, kind of heavy and capable of transmitting sound wirelessly over great distances.<br /><br />All the things that golden retriever puppies can do.<br /><br />The upkeep is much less involved with these headphones. I simply put them back on their charging station after a few hours of playing my favorite audio selection. They immediately go silent and begin the process of recharging until I feel like using them again in a few hours.<br /><br />Needless to say, I will be throwing out my puppies, having replaced them with these headphones.<br /><br />UPDATE: I am editing this review because I have owned these headphones now for more than four months. Thus far they have held up great even in the face of daily use.<br /><br />As an added bonus when I forget to turn them off after watching a video on Netflix or YouTube, the headphones will go from completely dead silent to blasting radio static in my ears.<br /><br />This reminds me to turn them off and has likely resulted in significant hearing loss in both ears.<br /><br />Oh well! Serves me right for forgetting to turn them off!"
RMFBXLQ2YEA3S,5,"This is great head set with easy controls. Typically battery charge last a week, great volume controls. A very good buy!"
R2KN3QR3DER92X,5,Good product
R1RQE59H8U2FL4,5,The ultimate solution for hard of hearing or courteous people who don't want to overwhelm their neighbors with loud noise from their TVs. One person can use the wireless headphones while the other person can control the sound from the TV for him or herself independently of the volume the headphone wearer selects. There is an impressive listening range. We even tested them out by going upstairs and still hearing our TV downstairs. Read that you can have more than one set in use and it's an option we may choose in the future by purchasing an additional set.
R3ID1T9MLPIV76,2,"This Sennheiser headset's tuning is controlled with a &#34;continuously variable potentiometer&#34; which must be set &#34;very carefully&#34; in order to hear the audio clearly; worse, it must be re-adjusted annoyingly frequently.<br />Other RF headsets like both the Sony TMR-RF985 and the JVC HA-W600RF have &#34;channel switches&#34; which are either in the right position or not.  Their audios are not perfect, but there is no re-tuning, once the channel is set."
R2WCA1TRXB0FJR,1,"Shipped the product overseas. When plugged it in, it didn't turn on. I always invest in good brand names products to avoid such cases. It didn't work in this case."
R2BRYC031HQWKB,5,"Have had for 1-2 yrs, and they are great."
R13Z9T1I60PY1Q,5,perfect for me
R2S61G6GZWYXL4,4,"It's great for watching TV when others are asleep, or when you need a boost in volume over the level others are happy with. The sound quality is great, the range is  good. I wear them to leave the TV room to do laundry so I wont miss any thing."
R27125RZ5S7LTM,4,Sound is good.  Earpiece is not concave to relieve pressure from the ear.
R2ZXF9EKWMCOO8,4,So far they have done what I expected of them.  Plugged them into the Atlantic Scientific box and I can increase the volume as needed for me and others can enjoy the normal sound.on the TV.
R1BUZY42O4J4D6,5,"Great Product! Keeps your partner happy when watching a program, as they don't have to listen to it!"
R7BI4IAFWOEDC,3,"Not as loud as I expected or need. Headset as others have said is loosey goosey and no adjustment. &#34;Tuning&#34; feels cheap. I haven't felt any tuning like this since the days of the little transistor radios. Having said all that, it has value. IF you have a spouse who wants to read while you watch a movie late at night, this would help. However, I bought this for use in my trailer at the lake. Just me. So I also ordered a Sound Platform from Vizio and compared the two. For me, with no need for a private device, the Sound Platform is far superior. Of course it costs about double but that was not a consideration.  I won't return this as I feel it is operating normally. I will instead gift it to a friend who can use it."
R14X7IFLWDDGR9,3,not any where near the 130 and much better than the botched engineering of the 170.<br />Sony is as good as the 120 and a lot less expensive
R1JE66IJ8681VD,1,.It makes the battery explode.<br />I was listening to the TV and am a huge noise by my ears like a bomb exploded battery almost lost the ear.<br />I had 12 month...<br />Be carefully.
R3FUADE1J3G5ZY,4,"Works great, little to much bass"
R1IOAHOH0248AP,5,"A year ago I purchased two of these headphone/dock charger sets. They were great for the first 8 or 9 months but since then they cut in and out, are full of static, and their range has dropped drastically. I will not purchase these again and do not recommend them."
R2OCVB2LGDRNJ6,5,These headphones were easy to setup and was a great buy for a guy who watches TV in the room while the wife sleeps an night!
R88ZX9VLZF414,5,awesome..works like a charm.
R17UDJ6J8BNTIH,5,"I'm a drummer and they fit my needs perfectfully;Sean Paisley,LPN"
R1CPI824IU61KD,1,This is the second set I have bought. The first set was fine for about 2 years and then the headset would cut in and out when using the volume control wheel. Annoying but still usable. I needed another set so I bought the same set a second time in May of this year and the base stopped working in July. I don't know if there is a warranty since I disposed of the box. I was hoping Amazon could help but their sight says I can't send it back. It will certainly be the last time I buy one of these units and I will probably buy direct from the manufacturer from now on and not through Amazon.
R3HW0VT5HWBBL6,5,"OMG! I have used several different brands like this over the years.  Nothing in this price range can compare to the high quality and comfort of this product. I can walk anywhere in my home, or yard (up to 100 feet+ away) and still get crystal clear surround sound and what awesome sound it is.  While these are not noise cancelling headphones, they are vastly superior to others like them and do the job of blocking most outside influences.  They are very comfortable to wear for extended periods and the rechargeable batteries last for hours and hours.  I charge them overnight once a week at most, but use them for 2-4 hours per day while watching tv with the kids and dog playing in the same room.  I highly recommend this product."
R3ML3R4VJTS5D9,5,"Terrific sound; easy to set up.  Makes dialogue so easy to understand.  And if I have to leave the room during a program, I still take the sound with me."
R366RYG3V1I1CV,5,I've been using these for several years. I almost completely detached one ear. Shoved it back on and that was that. I've dropped them and rolled over on them when I went to sleep. Just keep keeping on. Don't know about the specs or tech details. Just bullet proof for TV watching. Which is why I bought them.
R26GGTOCENLWCO,5,Excellent headphones and I can even use without removing hearing aids. A very good price for a quality product. Will likely purchase this product again in the near future.
R1MORTIJ4HFJ1F,5,"perfect for my grandpa. just put a pice of scotch tape on the tuning dial, and presto, no more out of tune..."
R1D5VUKC7UOJC6,5,"We just bought a townhouse for a summer home.  Back yard is so tiny that with windows open neighbors can easily hear our TV, so we decided headphones and bought a pair.<br /><br />We are very happy with them.  Prior to this purchase, we were thinking of getting more speakers for the TV but the headphone sound is so good that it would be a waste of money to get more speakers, etc.<br /><br />We also experienced the slippage/fall-off of the headphones when arising from a chair or other bending.  Kind of a nuisance but now we know to be careful and also wear the band a little more rearward on our heads.  Overall, we definitely do not regret this purchase."
R7MDYIIT69AC3,5,"Ordered this as a present for my husband. He loves it and it works great when the grandchildren are over and everyone is playing a different game on their tablets :)  Also, if he is watching a show that I don't care for, I can watch another one on my tablet and we can still  sit together on the couch."
R2BOD99E202BFN,3,Not easy to use.
R64Z1JSXL5J2I,1,"I bought this in May, and we three months further and it doesn't work anymore. It worked very well in the beginning and I loved the sound. Now there is no sound, just loud noise. I did everything, replace batteries, plugged in and out, put somewhere else, nothing worked. The distance between my bed an my TV is not more then 13 feet and still not able to use. I am so disapointed as this is the first time I spend this money on a headphone."
R2BKUNETJLZ4WB,5,"These headphones are the BEST!  They are lightweight and so easy to charge.  Don't mess around with cheaper ones, go for the best."
R3453VST33W6SJ,5,These are great quality and I haven't notice any static like the other reviews state. There is a fine tune knob that allows you to adjust the frequency and a volume control knob!
R2D2SKVRVWWI4Y,5,"This was a replacement, but so far it is great."
RGUZQ92VQG8DY,5,Works great.
R2OB9VQXDGX0L5,5,These work great.
R2HYVGC7UAKKZT,5,Works well and I use these headphones every night.
RWPG32I1XNCM8,5,We can hear very clear. I walked more than 100 feet passing  concrete walls and  I could hear clearly the National Geographic episode.<br />Sennheiser's Customer Service is Excellent.
R2GB9P95H34DQF,5,Great for your hard of hearing spouse.
R3LIYJLFJKEY95,5,"My wife loves this, cannot watch tv without it. We have had it several years and it's still working well."
R2URZ3EEF7EEW6,4,"Great unit! Great clarity. I've walked 50' to 60' from the unit and never lost the signal. The only reason for the 4 stars is that the headset is a bit bulky, otherwise I strongly recommend it."
R33WTZ7ATSQNOX,4,excellent sound and easy to connect...only glitch when you put on to charger stand the light is difficult to maintain and you don't know if it's charging or not
R29IMCLBUZER8X,4,They work fine for my wife who is hearing impared. She can remove her hearing aids and still hear well with these on.<br />I have several Sennheiser products and they seem to employ better quality control than most; something to consider when buying electronics.
R1UN7VL6454A85,1,Has continuous hissing sound
R1K99RTF3DTI1I,5,The headphones work great. They are super comfortable and seem to be a quality product at a very good price. I needed a TV headphone so I could watch TV while my wife slept. Just make sure your TV has an audio out connection in the back. It works for one of my TV's but not the other.
R1RCI6XOQ3D46N,5,Bought this for a friend and he is loving it !
R2VOHW17YCFCSP,5,Fast delivery excellent item!
